id,hsk_level,chinese,pinyin,english,myanmar,example_sentence_cn,example_sentence_pinyin,example_sentence_eng,example_sentence_my,related words
11,1,半年,bàn nián,half a year,ခြောက်လ၊ နှစ်ဝက်,我学了半年中文。 | 我们认识半年了。 | 半年以后再见。 | 这份工作我做了半年。 | 半年时间很快就过去了。,Wǒ xué le bànnián Zhōngwén. | Wǒmen rènshi bànnián le. | Bànnián yǐhòu zàijiàn. | Zhè fèn gōngzuò wǒ zuò le bànnián. | Bànnián shíjiān hěn kuài jiù guòqù le.,I have studied Chinese for half a year. | We have known each other for half a year. | See you again in half a year. | I have been doing this job for half a year. | Half a year passed very quickly.,ကျွန်တော်/ကျွန်မ တရုတ်စာကို ခြောက်လလောက် လေ့လာခဲ့တယ်။ | ကျွန်တော်/ကျွန်မတို့ သိကျွမ်းလာတာ ခြောက်လရှိပြီ။ | ခြောက်လကြာရင် ပြန်တွေ့မယ်။ | ဒီအလုပ်ကို ကျွန်တော်/ကျွန်မ ခြောက်လလုပ်ခဲ့ပြီ။ | ခြောက်လဆိုတာ အချိန်အရမ်းမြန်မြန် ကုန်သွားတယ်။,一年 (yìnián) — တစ်နှစ် | 半年后 (bànnián hòu) — ခြောက်လကြာပြီးနောက် | 半年内 (bànnián nèi) — ခြောက်လအတွင်း | 半年时间 (bànnián shíjiān) — ခြောက်လတာကာလ | 上半年 (shàngbànnián) — နှစ်ရဲ့ ပထမခြောက်လ
12,1,半天,bàn tiān,half day,နေ့တစ်ဝက်၊ အချိန်အတော်ကြာ,我等了你半天。 | 我忙了半天。 | 他看了半天书。 | 我找了半天也没找到。 | 我们聊了半天。,Wǒ děng le nǐ bàntiān. | Wǒ máng le bàntiān. | Tā kàn le bàntiān shū. | Wǒ zhǎo le bàntiān yě méi zhǎodào. | Wǒmen liáo le bàntiān.,I waited for you for a long time. | I was busy for a long time. | He read for a long time. | I looked for it for a long time but couldn't find it. | We chatted for a long time.,ကျွန်တော်/ကျွန်မ မင်းကို အချိန်အတော်ကြာ စောင့်ခဲ့တယ်။ | ကျွန်တော်/ကျွန်မ အချိန်အတော်ကြာ အလုပ်ရှုပ်နေခဲ့တယ်။ | သူ စာအုပ်ကို အချိန်အတော်ကြာ ဖတ်နေခဲ့တယ်။ | ကျွန်တော်/ကျွန်မ အချိန်အတော်ကြာ ရှာပေမယ့် မတွေ့ဘူး။ | ကျွန်တော်/ကျွန်မတို့ အချိန်အတော်ကြာ စကားပြောခဲ့ကြတယ်။,半天时间 (bàntiān shíjiān) — နေ့တစ်ဝက်ကြာချိန် | 大半天 (dàbàntiān) — အချိန်အတော်ကြာ | 半天不见 (bàntiān bú jiàn) — အချိန်အတော်ကြာ မတွေ့ရခြင်း | 半天以后 (bàntiān yǐhòu) — နေ့တစ်ဝက်ကြာပြီးနောက် | 一整天 (yì zhěngtiān) — တစ်နေ့လုံး
13,1,帮,bāng,help,ကူညီသည်၊ အကူအညီပေးသည်,我来帮你。 | 请帮我一下。 | 谢谢你帮我。 | 你可以帮我吗？ | 我帮妈妈做饭。,Wǒ lái bāng nǐ. | Qǐng bāng wǒ yíxià. | Xièxie nǐ bāng wǒ. | Nǐ kěyǐ bāng wǒ ma? | Wǒ bāng māma zuòfàn.,I'll help you. | Please help me. | Thank you for helping me. | Can you help me? | I help Mom cook.,ငါ မင်းကို ကူညီပေးမယ်။ | ကျေးဇူးပြုပြီး ကျွန်တော့်/ကျွန်မကို ခဏကူညီပေးပါ။ | ကျွန်တော့်/ကျွန်မကို ကူညီပေးလို့ ကျေးဇူးတင်ပါတယ်။ | မင်း ကျွန်တော့်/ကျွန်မကို ကူညီပေးနိုင်လား။ | ကျွန်တော်/ကျွန်မ အမေကို ထမင်းဟင်းချက်ရာမှာ ကူညီပေးတယ်။,帮忙 (bāngmáng) — အကူအညီပေးသည် | 帮助 (bāngzhù) — ကူညီသည်၊ အကူအညီပေးသည် | 帮人 (bāng rén) — လူကို ကူညီသည် | 帮手 (bāngshǒu) — လက်ထောက်၊ ကူညီပေးသူ | 帮助别人 (bāngzhù biérén) — အခြားသူတွေကို ကူညီသည်
14,1,帮忙,bāng máng,help,ကူညီသည်၊ အကူအညီပေးသည်,你能帮忙吗？ | 谢谢你的帮忙。 | 请你帮忙拿一下。 | 我来帮忙。 | 谢谢你帮忙。,Nǐ néng bāngmáng ma? | Xièxie nǐ de bāngmáng. | Qǐng nǐ bāngmáng ná yíxià. | Wǒ lái bāngmáng. | Xièxie nǐ bāngmáng.,Can you help? | Thank you for your help. | Please help me carry it. | I’ll help. | Thank you for helping.,မင်း ကူညီပေးနိုင်လား။ | မင်း ကူညီပေးတာ ကျေးဇူးတင်ပါတယ်။ | ကျေးဇူးပြုပြီး ဒါကို ခဏကူညီသယ်ပေးပါ။ | ကျွန်တော်/ကျွန်မ ကူညီပေးမယ်။ | ကူညီပေးလို့ ကျေးဇူးတင်ပါတယ်။,帮助 (bāngzhù) — ကူညီသည်၊ အကူအညီပေးသည် | 帮手 (bāngshǒu) — လက်ထောက်၊ ကူညီပေးသူ | 帮人 (bāng rén) — လူကို ကူညီသည် | 帮忙工作 (bāngmáng gōngzuò) — အလုပ်မှာ ကူညီပေးသည် | 帮忙做事 (bāngmáng zuò shì) — အလုပ်ကိစ္စမှာ ကူညီပေးသည်
15,1,包,bāo,package,အိတ်၊ ထုပ်ပိုးသည်၊ ထုပ်,这个包很漂亮。 | 我的包在哪儿？ | 请把书放进包里。 | 这个包多少钱？ | 他买了一个新包。,Zhège bāo hěn piàoliang. | Wǒ de bāo zài nǎr? | Qǐng bǎ shū fàng jìn bāo lǐ. | Zhège bāo duōshao qián? | Tā mǎi le yí gè xīn bāo.,This bag is beautiful. | Where is my bag? | Please put the book in the bag. | How much is this bag? | He bought a new bag.,ဒီအိတ်က အရမ်းလှတယ်။ | ကျွန်တော့်/ကျွန်မရဲ့ အိတ် ဘယ်မှာလဲ။ | စာအုပ်ကို အိတ်ထဲ ထည့်ပေးပါ။ | ဒီအိတ် ဘယ်လောက်လဲ။ | သူ အိတ်အသစ်တစ်လုံး ဝယ်ခဲ့တယ်။,书包 (shūbāo) — ကျောင်းလွယ်အိတ် | 包裹 (bāoguǒ) — ပါဆယ်ထုပ် | 手提包 (shǒutíbāo) — လက်ကိုင်အိတ် | 包装 (bāozhuāng) — ထုပ်ပိုးခြင်း | 包子 (bāozi) — ပေါင်းမုန့် | 红包 (hóngbāo) — ငွေထည့်ပေးတဲ့ အိတ်နီ
16,1,包子,bāo zi,bun,ပေါင်းမုန့်၊ အစာထည့်ထားသော ပေါင်းမုန့်,我喜欢吃包子。 | 早上我吃了两个包子。 | 这个包子很好吃。 | 妈妈买了很多包子。 | 包子多少钱一个？,Wǒ xǐhuan chī bāozi. | Zǎoshang wǒ chī le liǎng gè bāozi. | Zhège bāozi hěn hǎochī. | Māma mǎi le hěn duō bāozi. | Bāozi duōshao qián yí gè?,I like eating steamed buns. | I ate two steamed buns in the morning. | This steamed bun is delicious. | Mom bought many steamed buns. | How much is one steamed bun?,ကျွန်တော်/ကျွန်မ ပေါင်းမုန့်စားရတာ ကြိုက်တယ်။ | မနက်က ပေါင်းမုန့်နှစ်လုံး စားခဲ့တယ်။ | ဒီပေါင်းမုန့်က အရမ်းစားကောင်းတယ်။ | အမေ ပေါင်းမုန့်အများကြီး ဝယ်လာတယ်။ | ပေါင်းမုန့်တစ်လုံး ဘယ်လောက်လဲ။,小笼包 (xiǎolóngbāo) — အစာထည့်ထားသော ပေါင်းမုန့်အလုံးသေး | 肉包子 (ròu bāozi) — အသားပေါင်းမုန့် | 菜包子 (cài bāozi) — ဟင်းသီးဟင်းရွက်ပေါင်းမုန့် | 包子店 (bāozi diàn) — ပေါင်းမုန့်ဆိုင် | 包子铺 (bāozi pù) — ပေါင်းမုန့်ဆိုင် | 包子馅 (bāozi xiàn) — ပေါင်းမုန့်အစာ
17,1,杯,bēi,cup,ခွက်/ဖန်ခွက်ကို ရေတွက်တဲ့စကားလုံး အဖြစ် အများဆုံးသုံးသည်,一杯水。 | 请给我一杯茶。 | 我喝了两杯咖啡。 | 这杯水很热。 | 他买了一杯果汁。,Yì bēi shuǐ. | Qǐng gěi wǒ yì bēi chá. | Wǒ hē le liǎng bēi kāfēi. | Zhè bēi shuǐ hěn rè. | Tā mǎi le yì bēi guǒzhī.,A cup of water. | Please give me a cup of tea. | I drank two cups of coffee. | This glass of water is very hot. | He bought a cup of juice.,ရေတစ်ခွက်။ | ကျွန်တော့်/ကျွန်မကို လက်ဖက်ရည်တစ်ခွက် ပေးပါ။ | ကျွန်တော်/ကျွန်မ ကော်ဖီနှစ်ခွက် သောက်ခဲ့တယ်။ | ဒီရေတစ်ခွက်က အရမ်းပူတယ်။ | သူ သစ်သီးဖျော်ရည်တစ်ခွက် ဝယ်ခဲ့တယ်။,杯子 (bēizi) — ခွက်၊ ဖန်ခွက် | 水杯 (shuǐbēi) — ရေခွက် | 茶杯 (chábēi) — လက်ဖက်ရည်ခွက် | 酒杯 (jiǔbēi) — အရက်/ဝိုင်ခွက် | 杯盖 (bēigài) — ခွက်အဖုံး | 一杯水 (yì bēi shuǐ) — ရေတစ်ခွက်
18,1,杯子,bēi zi,cup,ခွက်၊ ဖန်ခွက် ဆိုတဲ့ ပစ္စည်း,这是我的杯子。 | 我的杯子在哪里？ | 这个杯子很漂亮。 | 请洗一下杯子。 | 杯子里有水。,Zhè shì wǒ de bēizi. | Wǒ de bēizi zài nǎlǐ? | Zhège bēizi hěn piàoliang. | Qǐng xǐ yíxià bēizi. | Bēizi lǐ yǒu shuǐ.,This is my cup. | Where is my cup? | This cup is beautiful. | Please wash the cup. | There is water in the cup.,ဒါက ကျွန်တော့်/ကျွန်မရဲ့ ခွက်ပါ။ | ကျွန်တော့်/ကျွန်မရဲ့ ခွက် ဘယ်မှာလဲ။ | ဒီခွက်က အရမ်းလှတယ်။ | ကျေးဇူးပြုပြီး ခွက်ကို ဆေးပေးပါ။ | ခွက်ထဲမှာ ရေရှိတယ်။,杯 (bēi) — ခွက်၊ အရည်ကို ရေတွက်ရာတွင်သုံးသော စကားလုံး | 水杯 (shuǐbēi) — ရေခွက် | 茶杯 (chábēi) — လက်ဖက်ရည်ခွက် | 酒杯 (jiǔbēi) — အရက်/ဝိုင်ခွက် | 杯盖 (bēigài) — ခွက်အဖုံး | 玻璃杯 (bōlibēi) — ဖန်ခွက်
19,1,北,běi,north,မြောက်ဘက်၊ မြောက်,北方是很冷的。 | 我家在学校的北面。 | 他来自北方。 | 北风很大。 | 鸟飞向北方。,Běifāng shì hěn lěng de. | Wǒ jiā zài xuéxiào de běimiàn. | Tā láizì běifāng. | Běifēng hěn dà. | Niǎo fēi xiàng běifāng.,The north is very cold. | My home is north of the school. | He comes from the north. | The north wind is strong. | The birds are flying north.,မြောက်ဘက်က အရမ်းအေးတယ်။ | ကျွန်တော်/ကျွန်မ အိမ်က ကျောင်းရဲ့ မြောက်ဘက်မှာရှိတယ်။ | သူက မြောက်ပိုင်းက လာတာပါ။ | မြောက်လေက အရမ်းပြင်းတယ်။ | ငှက်တွေ မြောက်ဘက်ကို ပျံသွားတယ်။,北方 (běifāng) — မြောက်ပိုင်း | 北面 (běimiàn) — မြောက်ဘက် | 北风 (běifēng) — မြောက်လေ | 南北 (nánběi) — တောင်မြောက် | 东北 (dōngběi) — အရှေ့မြောက် | 西北 (xīběi) — အနောက်မြောက်
20,1,北边,běi biān,North side,မြောက်ဘက်၊ မြောက်ခြမ်း,学校在我家北边。 | 商店在银行北边。 | 北边有一个公园。 | 车站在学校北边。 | 我家在医院北边。,Xuéxiào zài wǒ jiā běibian. | Shāngdiàn zài yínháng běibian. | Běibian yǒu yí gè gōngyuán. | Chēzhàn zài xuéxiào běibian. | Wǒ jiā zài yīyuàn běibian.,The school is north of my home. | The shop is north of the bank. | There is a park to the north. | The station is north of the school. | My home is north of the hospital.,ကျောင်းက ကျွန်တော်/ကျွန်မအိမ်ရဲ့ မြောက်ဘက်မှာရှိတယ်။ | ဆိုင်က ဘဏ်ရဲ့ မြောက်ဘက်မှာရှိတယ်။ | မြောက်ဘက်မှာ ပန်းခြံတစ်ခုရှိတယ်။ | ဘူတာက ကျောင်းရဲ့ မြောက်ဘက်မှာရှိတယ်။ | ကျွန်တော်/ကျွန်မအိမ်က ဆေးရုံရဲ့ မြောက်ဘက်မှာရှိတယ်။,南边 (nánbian) — တောင်ဘက် | 东边 (dōngbian) — အရှေ့ဘက် | 西边 (xībian) — အနောက်ဘက် | 北面 (běimiàn) — မြောက်ဘက် | 北方 (běifāng) — မြောက်ပိုင်း | 北部 (běibù) — မြောက်ပိုင်းဒေသ
21,1,北京,běi jīng,Beijing,ပေကျင်း,我住在北京。 | 北京是中国的首都。 | 北京的冬天很冷。 | 我想去北京旅游。 | 他在北京工作。,Wǒ zhù zài Běijīng. | Běijīng shì Zhōngguó de shǒudū. | Běijīng de dōngtiān hěn lěng. | Wǒ xiǎng qù Běijīng lǚyóu. | Tā zài Běijīng gōngzuò.,I live in Beijing. | Beijing is the capital of China. | Beijing's winter is very cold. | I want to travel to Beijing. | He works in Beijing.,ကျွန်တော်/ကျွန်မ ပေကျင်းမှာ နေတယ်။ | ပေကျင်းက တရုတ်နိုင်ငံရဲ့ မြို့တော်ပါ။ | ပေကျင်းရဲ့ ဆောင်းရာသီက အရမ်းအေးတယ်။ | ကျွန်တော်/ကျွန်မ ပေကျင်းကို ခရီးသွားချင်တယ်။ | သူ ပေကျင်းမှာ အလုပ်လုပ်တယ်။,北京市 (Běijīng Shì) — ပေကျင်းမြို့ | 北京人 (Běijīngrén) — ပေကျင်းမြို့သား/သူ | 北京话 (Běijīnghuà) — ပေကျင်းစကား | 北京大学 (Běijīng Dàxué) — ပေကျင်းတက္ကသိုလ် | 北京站 (Běijīng Zhàn) — ပေကျင်းဘူတာ
22,1,本（量）,běn,(measure word for books or volumes),အုပ်၊ စာအုပ်များကို ရေတွက်ရာတွင်သုံးသော ရေတွက်စကားလုံး,我有一本书。 | 桌子上有三本书。 | 我买了两本词典。 | 这本书很好看。 | 请给我一本书。,Wǒ yǒu yì běn shū. | Zhuōzi shàng yǒu sān běn shū. | Wǒ mǎi le liǎng běn cídiǎn. | Zhè běn shū hěn hǎokàn. | Qǐng gěi wǒ yì běn shū.,I have a book. | There are three books on the table. | I bought two dictionaries. | This book is very interesting. | Please give me a book.,ကျွန်တော်/ကျွန်မမှာ စာအုပ်တစ်အုပ်ရှိတယ်။ | စားပွဲပေါ်မှာ စာအုပ်သုံးအုပ်ရှိတယ်။ | ကျွန်တော်/ကျွန်မ အဘိဓာန်နှစ်အုပ် ဝယ်ခဲ့တယ်။ | ဒီစာအုပ်က ဖတ်လို့ကောင်းတယ်။ | ကျွန်တော့်/ကျွန်မကို စာအုပ်တစ်အုပ် ပေးပါ။,一本 (yì běn) — တစ်အုပ် | 两本 (liǎng běn) — နှစ်အုပ် | 书本 (shūběn) — စာအုပ် | 本书 (běn shū) — ဒီစာအုပ်/စာအုပ်တစ်အုပ် | 本杂志 (běn zázhì) — မဂ္ဂဇင်းတစ်စောင် | 本小说 (běn xiǎoshuō) — ဝတ္ထုတစ်အုပ်
